Unit: nanoseconds
                 expr    min     lq   mean median     uq     max neval
    factorial_loop(0)    700    900   1572   1300   1700   13100   100
    factorial_func(0)    700   1000   1638   1400   1900    6300   100
  factorial_reduce(0)   5600   8150   9086   8900   9550   25000   100
     factorial_mem(0)   5700   8250   8979   8900   9300   22500   100
    factorial_loop(2)   1100   1400   2314   2200   2700   11900   100
    factorial_func(2)   2300   2750   4674   3600   4800   48100   100
  factorial_reduce(2) 128500 133600 147154 136500 143900  389100   100
     factorial_mem(2) 129400 135100 169237 138750 147850 1150100   100
    factorial_loop(5)   1200   1500   2232   2000   2650    4600   100
    factorial_func(5)   4800   5550   6623   6400   7550   10800   100
  factorial_reduce(5) 135300 141150 161197 144450 156050  470900   100
     factorial_mem(5) 138400 142700 152373 145900 153300  325800   100
    factorial_loop(7)   1200   1500   2411   2000   2600   16900   100
    factorial_func(7)   6400   6900   8441   7800   8900   26200   100
  factorial_reduce(7) 142700 147350 161326 151150 158200  501500   100
     factorial_mem(7) 143500 148400 182517 152100 159450 1650900   100
   factorial_loop(10)   1300   1600   2549   2200   2750   11900   100
   factorial_func(10)   8900   9800  11626  10550  11600   47500   100
 factorial_reduce(10) 149800 155050 162881 157400 163200  375100   100
    factorial_mem(10) 149400 156550 174038 159800 170950  491800   100
